,"U1","I1","U2","I2","U3","I3",
"$WaveData"
,-0.88E+00,12.107E+00,-527.28E+00,-23.872E+00,525.55E+00,2.087E+00,
,0.29E+00,19.211E+00,-525.62E+00,-17.808E+00,527.08E+00,8.687E+00,
,-0.59E+00,10.327E+00,-526.95E+00,-23.689E+00,-2.80E+00,-1.322E+00,
,2.21E+00,20.518E+00,3.79E+00,-16.448E+00,526.46E+00,8.795E+00,
,-0.85E+00,12.604E+00,-528.48E+00,-27.310E+00,-2.14E+00,-1.045E+00,
,1.76E+00,20.444E+00,2.59E+00,-17.868E+00,528.80E+00,7.471E+00,
,-1.14E+00,13.421E+00,-525.72E+00,-24.634E+00,524.08E+00,-0.131E+00,
,527.10E+00,21.134E+00,2.26E+00,-17.352E+00,525.61E+00,7.274E+00,
,-1.92E+00,12.096E+00,0.02E+00,-25.289E+00,-2.54E+00,-2.640E+00,
,530.36E+00,22.512E+00,6.43E+00,-14.932E+00,527.83E+00,8.313E+00,
,-4.11E+00,14.308E+00,-527.51E+00,-25.156E+00,522.55E+00,-2.527E+00,
,526.68E+00,28.296E+00,2.36E+00,-12.975E+00,524.99E+00,5.827E+00,
,-2.51E+00,11.015E+00,-524.35E+00,-25.172E+00,-2.44E+00,-5.355E+00,
,0.55E+00,23.444E+00,2.59E+00,-15.350E+00,523.88E+00,6.072E+00,
,-5.90E+00,15.138E+00,-525.45E+00,-27.027E+00,-2.34E+00,-12.416E+00,
,0.36E+00,25.893E+00,2.49E+00,-17.194E+00,526.46E+00,3.717E+00,
,-1.89E+00,10.421E+00,-523.86E+00,-24.548E+00,521.12E+00,-5.340E+00,
,526.45E+00,20.654E+00,3.47E+00,-15.992E+00,529.68E+00,3.659E+00,
,-2.48E+00,16.408E+00,-1.22E+00,-22.032E+00,-2.76E+00,-5.631E+00,
,522.64E+00,24.132E+00,1.06E+00,-12.966E+00,522.03E+00,3.177E+00,
,-2.35E+00,14.238E+00,-0.73E+00,-21.620E+00,-2.08E+00,-6.623E+00,
,525.76E+00,23.525E+00,2.82E+00,-11.433E+00,525.09E+00,6.305E+00,
,-2.45E+00,18.739E+00,-522.85E+00,-20.815E+00,519.62E+00,-5.662E+00,
,521.27E+00,29.543E+00,0.67E+00,-11.452E+00,521.02E+00,2.890E+00,
,-3.91E+00,15.961E+00,-524.54E+00,-21.470E+00,-3.71E+00,-10.524E+00,
,-0.43E+00,22.523E+00,1.84E+00,-10.676E+00,522.68E+00,2.513E+00,
,-2.41E+00,10.454E+00,-522.04E+00,-25.707E+00,518.28E+00,-7.238E+00,
,524.56E+00,25.394E+00,4.15E+00,-12.428E+00,520.82E+00,0.418E+00,
,-2.87E+00,15.924E+00,-1.12E+00,-21.142E+00,-2.60E+00,-8.643E+00,
,519.25E+00,23.491E+00,2.46E+00,-11.321E+00,519.19E+00,0.489E+00,
,-2.71E+00,18.834E+00,-2.07E+00,-18.586E+00,-2.44E+00,-8.732E+00,
,522.54E+00,25.772E+00,0.93E+00,-11.294E+00,521.90E+00,-0.303E+00,
